ID,Title,body,ux_smell,reasoning
2202,The Property view steals PropertySheetPages from other views,"- [x] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK]

I tested  this with org.eclipse.ui.views_3.12.100.v20230821-1342.jar. This is a year old but the code that (I assume) causes the issue has not changed since then.

## The Issue
So i have this view (VariablesView) that extends PageBookView. The pages that VariablesView hosts extend from TabbedPropertySheetPage which implements IPropertySheetPage.

Everything worked fine. Until one day, for some reason i had the Properties View open at the same time as my VariablesView. Suddenly the pages of the VariablesView were partially rendered in the Properties View. See screenshot

![Properties View issue](https://github.com/user-attachments/assets/a36a3780-1d95-4d23-9841-ab846947e098)

## The Cause
Analyzing this issue i determent that the following code in PropertySheet.java seems to be the issue:
```java
	@Override
	protected PageRec doCreatePage(IWorkbenchPart part) {
		// Get a custom property sheet page but not if the part is also a
		// PropertySheet. In this case the child property sheet would
		// accidentally reuse the parent's property sheet page.
		if(part instanceof PropertySheet) {
			return null;
		}
		IPropertySheetPage page = Adapters.adapt(part, IPropertySheetPage.class);
		if (page != null) {
			if (page instanceof IPageBookViewPage) {
				initPage((IPageBookViewPage) page);
			}
			page.createControl(getPageBook());
			return new PageRec(part, page);
		}
```
This is executed whenever the PropertiesView is open and a WorkbenchPart is select. In my case: The VariablesView can be adapted to a IPropertySheetPage because PageBockView adapts the current page which is an IPropertySheetPage. As a consequent createControl() is invoked with a new parent composite on a page that was already created. Any new child widgets will be added to the Properties view. 

## The Workaround
For me, this is not much of an issue since i can override getAdapter() method so that my VariablesView is never adapted to an IPropertySheetPage.

## Conclusion
I ask myself, where exactly this went wrong. Maybe it is wrong to use IPropertySheetPage or a TabbedPropertySheetPage in a view other then the Properties View. 
On the other hand invoking createControl() on a IPage that came from an Adapter is also very risky since any client would expect that createControl() is invoked not more then once.

Maybe this could be fixed by checking if the IPropertySheetPage already is created. I don't see any reason why a IPropertySheetPage  should be created multiple times
```java
		IPropertySheetPage page = Adapters.adapt(part, IPropertySheetPage.class);
		if (page != null && page.getControl() == null) { // <-- Fix
			if (page instanceof IPageBookViewPage) {
				initPage((IPageBookViewPage) page);
			}
			page.createControl(getPageBook());
			return new PageRec(part, page);
```

Let me know what you think. Is this something that needs to be fixed or is working as intended?


## Community

- [x] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.
",Bug,Describes incorrect system behavior rather than a UX smell.
688,"Github actions report ""windows"" test fails for all 3 platforms","The way how github actions currently report test fails is ""confusing"" to say gently.

On [this PR](https://github.com/eclipse-platform/eclipse.platform.ui/pull/682) one can see both in the actions status and **in the console text** that maven reports test fails on all three platforms, 

![image](https://user-images.githubusercontent.com/964108/229496962-4ff48b0b-543f-4a0b-93f7-6d0e0a11f7ba.png)

however clicking on ""Test Results"" shows test fails **for Windows only, repeated three times**

![image](https://user-images.githubusercontent.com/964108/229497274-9060aef6-1f61-4ef0-9482-1a8d932d4e4e.png)

With that, I don't see a way to see test results for **other two platforms**.",Bug,Describes incorrect system behavior rather than a UX smell.
2774,AssertionFailedException logged after local junit test,"for example running ASTRewritingModifyingTest ends with 
```
!ENTRY org.eclipse.ui.workbench 4 2 2025-02-05 12:19:44.810
!MESSAGE Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".
!STACK 0
org.eclipse.core.runtime.AssertionFailedException: assertion failed: The application is already stopped.
	at org.eclipse.core.runtime.Assert.isTrue(Assert.java:119)
	at org.eclipse.core.internal.runtime.InternalPlatform.assertInitialized(InternalPlatform.java:188)
	at org.eclipse.core.internal.runtime.InternalPlatform.addLogListener(InternalPlatform.java:180)
	at org.eclipse.core.runtime.Platform.addLogListener(Platform.java:623)
	at org.eclipse.ui.statushandlers.StatusManager.<init>(StatusManager.java:144)
	at org.eclipse.ui.statushandlers.StatusManager.getManager(StatusManager.java:136)
	at org.eclipse.ui.internal.progress.ProgressManager$1.done(ProgressManager.java:468)
	at org.eclipse.core.internal.jobs.JobListeners.sendEvent(JobListeners.java:153)
	at org.eclipse.core.internal.jobs.JobListeners.sendEventsAsync(JobListeners.java:140)
	at org.eclipse.core.internal.jobs.JobListeners.waitAndSendEvents(JobListeners.java:80)
	at org.eclipse.core.internal.jobs.JobManager.withWriteLock(JobManager.java:551)
	at org.eclipse.core.internal.jobs.JobManager.endJob(JobManager.java:756)
	at org.eclipse.core.internal.jobs.WorkerPool.endJob(WorkerPool.java:117)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:83)

!ENTRY org.eclipse.core.jobs 4 2 2025-02-05 12:19:44.813
!MESSAGE An internal error occurred during: ""Decoration Calculation"".
!STACK 0
org.eclipse.core.runtime.AssertionFailedException: assertion failed: The application is already stopped.
	at org.eclipse.core.runtime.Assert.isTrue(Assert.java:119)
	at org.eclipse.core.internal.runtime.InternalPlatform.assertInitialized(InternalPlatform.java:188)
	at org.eclipse.core.internal.runtime.InternalPlatform.getAdapterManager(InternalPlatform.java:213)
	at org.eclipse.core.runtime.Platform.getAdapterManager(Platform.java:697)
	at org.eclipse.ui.internal.ObjectContributorManager.getCommonClasses(ObjectContributorManager.java:673)
	at org.eclipse.ui.internal.ObjectContributorManager.getContributors(ObjectContributorManager.java:576)
	at org.eclipse.ui.internal.decorators.LightweightDecoratorManager.getDecoratorsFor(LightweightDecoratorManager.java:322)
	at org.eclipse.ui.internal.decorators.LightweightDecoratorManager.getDecorations(LightweightDecoratorManager.java:343)
	at org.eclipse.ui.internal.decorators.DecorationScheduler$1.queue(DecorationScheduler.java:410)
	at org.eclipse.ui.internal.decorators.DecorationScheduler$1.run(DecorationScheduler.java:388)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:63)

```",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
35,Where is new e4 application wizard???,"Reading this https://eclipsesource.com/blogs/2012/05/10/eclipse-4-final-sprint-part-1-the-e4-application-model/
I see following:
> Creating an e4 Application
> The easiest way to get started is to use a template to create a new e4 application. 
> This will create a bundle containing all necessary artefacts for an Eclipse 4 Application including the Application Model. 
> To create such a project, choose the “Eclipse 4 Application Project” entry within the “New Project” wizard.

There is a wizard shown: 
![image](https://user-images.githubusercontent.com/964108/164757776-5c3c8d4a-9080-4357-b9ae-b6cb4e6ffc80.png)

But I can't find anything similar in my 4.24 SDK???
Where it is gone?

The actual reason I'm asking about it: in context of eclipse-platform/eclipse.platform.runtime#35 I've stumbled over code in https://github.com/eclipse-platform/eclipse.platform.ui/blob/d93628bf06e59a63852a7d51bbd486ff16adb760/bundles/org.eclipse.e4.ui.workbench.swt/src/org/eclipse/e4/ui/internal/workbench/swt/E4Application.java#L241 that initializes **default** workspace location before actual one is supposed to be initialized few lines later in https://github.com/eclipse-platform/eclipse.platform.ui/blob/d93628bf06e59a63852a7d51bbd486ff16adb760/bundles/org.eclipse.e4.ui.workbench.swt/src/org/eclipse/e4/ui/internal/workbench/swt/E4Application.java#L340

How is that e4 application workspace initialization is supposed to work? Do we have there something like workspace selection dialog? Or is this always using workspace location somehow specified via command line or model file?
",Undescriptive Element,Control or label is unclear about purpose or action.
1185,Possible problem in file org/eclipse/jface/text/contentassist/CompletionProposalPopup.java#L1248,"Hi.

According to the discussion, I transformed it into an issue. Attached you can find: i) Main.java a very brief example to reproduce the problem; simply start the application while in the editor, press ctrl+space multiple times (many times, to be able to see that there are actually many overlapped content assistants open - see figure1).

The problem looks to be at https://github.com/eclipse-platform/eclipse.platform.ui/blob/master/bundles/org.eclipse.jface.text/src/org/eclipse/jface/text/contentassist/CompletionProposalPopup.java#L1248

Rationale
- condition 1241 is true only when the listener is armed and it is armed if and only if the widgettoken is acquired by the ContentAssistant (see code of addContentAssistListener)
- if the listener is installed, the ContentAssistant is displayed
- however, a second ContentAssistant cannot acquire the widgettoken and the execution gets to line 1248 and thus, the  (nth) ContentAssistant is still displayed (?!?!). Instead of going to 1248, I would expect the execution to get to 1252 and hide the additional ContentAssist (actually, this looks to be the case earlier - see this blame view where hide() is executed when the listener/widgettoken cannot be acquired https://github.com/eclipse-platform/eclipse.platform.ui/blame/a1ac8bebc4317a8647163943422a9ed27907aedc/org.eclipse.jface.text/src/org/eclipse/jface/text/contentassist/CompletionProposalPopup.java#L1225)

### Discussed in https://github.com/eclipse-platform/eclipse.platform.ui/discussions/1184

<div type='discussions-op-text'>

<sup>Originally posted by **petrufm** October  2, 2023</sup>
Hi,

In file https://github.com/eclipse-platform/eclipse.platform.ui/blob/master/bundles/org.eclipse.jface.text/src/org/eclipse/jface/text/contentassist/CompletionProposalPopup.java#L1248 I observed it would be possible to make visible a content assist without arming its CompletionProposalPopup (this) listener. Is this intended?  Among others, multiple content assists may be made visible simultaneously.

Thanks.</div>

[Main.java.zip](https://github.com/eclipse-platform/eclipse.platform.ui/files/12789284/Main.java.zip)
<img width=""460"" alt=""figure1"" src=""https://github.com/eclipse-platform/eclipse.platform.ui/assets/12006492/90420a6b-17b4-4928-a566-9870707a23f3"">
",Clipped/Overlapping UI,"UI elements are clipped, cut off, or overlap."
1913,[find/replace logic] cannot easily reset the Incremental Base-Location,"This Issue Documents a review-comment from the find/replace overlay PR
which could not be addressed into the current proposal
[comment](https://github.com/eclipse-platform/eclipse.platform.ui/pull/1192#issuecomment-2117826351)

FindReplaceLogic internally keeps track of it's ""incremental base location"" - when starting a search from a fresh environment, it needs to be set to the current cursor location. However, FindReplaceLogic does not have logic for this, instead only relying on updating the base location when Incremental search is enabled or disabled.
FindReplaceLogic should expose a method for updating an incremental base location instead of relying on a trick to update the Incremental Base Location.",No UX,"Technical, test, API, or maintenance issue unrelated to UX."
159,Remove deprecated show-close CSS support,Since 2012 we are issuing a warning if the deprecated swt-close CSS property is used. We should remove this property.,No UX,"Technical, test, API, or maintenance issue unrelated to UX."
3735,Search view with millions of matches is freezing the UI,"Hi,

There is a performance problem in the Search View when search term is used which occcurs several million times in the workspace 
The search gets slower and freezes the UI. 

Additionally when the user selects an IFile/IConntainer and removes its matches, the Search View deletes them one by one. This leads to significant performance degradation. The root cause is that matches are removed individually instead of being removed in a single operation from the underlying map.

Additionally, there is an issue related to the configured result limit. When a limit is set, the Search View only shows a subset of the matches. If the user selects an IFile and removes its matches, only the visible matches are deleted, while the hidden ones (filtered out by the limit) remain. However, the expected behavior is that all matches belonging to the selected file or resource should be removed.

The reproduction scenario for the problems described above:

- Create or import a project with many files that contain a very common search term (resulting in several thousand matches, 25.000 should be enough).
- Start a File Search for that term.
- Enable the result limit in the filter options (e.g., 1,000 matches), reducing the number of visible results.
- In the Search View, select an IFile or IResource containing many matches.
- Trigger Remove Selected Matches.

**Behavior:**
Removal is slow due to match‑by‑match deletion.
Only visible matches are removed; hidden ones remain in the model.

**Expectation:**
Removal should be done fast.
All matches for the selected file/resource are removed, regardless of the visible limit.

I would like to propose a fix that addresses these problems.

Best regards
Mehmet Karaman",Poor discoverability,The UI gives weak clues for finding the feature.
2087,Undoing multiline deletion inserts strange extra lines and cause UI error,"Let's make sure issue is not already fixed in latest builds first.

- [Y] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)
Can reproduce in 2024-06  (4.32)

## Steps to reproduce
1. write 3 lines in the editor, lets write ""asd"" 3 times in three lines +1 empty line just for better visibility
2. click after the s in the 3 line
3. alt+click after the s in the first line
4. hit backspace 3 times
5. ctrl+z once
6. clicking in the second row, it will highlight 2 rows, as the cursor is in the second and third row at the same time.
7. clicking in any row below the second row you will experience the extra ghost line

Printscreens.
step 3: 
![image](https://github.com/eclipse-platform/eclipse.platform/assets/126617861/8cf8d74c-e11a-4803-ba7b-c3ba26f11dca)

step 6: Two lines are selected with light gray
![image](https://github.com/eclipse-platform/eclipse.platform/assets/126617861/9450cbd1-0bbf-4397-a88b-a7bdb2a88c49)

step 7: The cursor real position is 4 rows below the blinking cursor.
![image](https://github.com/eclipse-platform/eclipse.platform/assets/126617861/449257fb-c2ac-4513-bd78-fef7f991cce5)

I tried to delete whole words with multiline selection and ctrl+delete/ctrl+backspace, but it was only deleting at the blinking cursor, not on the multiline selection cursor, so I tried simple backspace multiple rows, and this happened.

I expected:  undo only inserts the rows that was available.

But got:  Double the row amount.


## Tested under this environment:
* OS & version: Windows 10
* Eclipse IDE/Platform version (as shown in *Help > About*): Eclipse IDE for Java Developers (includes Incubating components)

* I experienced the same issue in the DBeaver that is written in Eclipse RCP.

## Community

- [x] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.
",Poor discoverability,The UI gives weak clues for finding the feature.
2075,Find/Replace Overlay: Lost in Manifest editor,"<!-- Thank you for reporting this issue! -->
<!-- The following template is highly recommended to trigger an efficient course of actions: it's pretty suitable if you're not familiar with the project as it will guide you in sharing the most important information. If you're not comfortable with this template for your particular report, feel free to erase it and write your report from scratch -->

Let's make sure issue is not already fixed in latest builds first.

- [x] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce

* Open any `MANIFEST.MF` file.
* Press CTRL+F / CMD+F to open the find/replace overlay.
* Click into the Manifest editor.

I expected: the overlay to still be present and the focus to be in the Manifest editor

But got: the overlay is hidden and cannot be reopened without closing and reopening the editor

![find_replace_manifest_lost](https://github.com/user-attachments/assets/0c712735-86d6-4b17-a3d6-a195ce442610)


## Tested under this environment:
* OS & version: Windows 11
* Eclipse IDE/Platform version (as shown in *Help > About*): I20240711-1800

## Community

- [x] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.
",Poor discoverability,The UI gives weak clues for finding the feature.
