id,title,ux_smell,url,reasoning
1,Reduce the width of the default activity bar,,https://github.com/microsoft/vscode/issues/271132,No apparent UX issue; only a UI adjustment.
2,"Increase status bar height, icon size, text size",,https://github.com/microsoft/vscode/issues/271126,"Goal is styling consistency, not a user experience deficiency."
3,Add space in string for new editor empty state,Undescriptive Element,https://github.com/microsoft/vscode/issues/270694,Missing space makes text ambiguous and hard to read.
4,Chat Context Clearing,UX Guidance,https://github.com/microsoft/vscode/issues/270465,Users need better cues to start new sessions; not current UX.
5,Empty chat history item,Undescriptive Element,https://github.com/microsoft/vscode/issues/270329,Blank title leaves user uncertain about chat identity.
6,Overlapping chat parts in short-ish window,UX Smell,https://github.com/microsoft/vscode/issues/270273,Overlapping UI fragments cause confusion and misclicks.
7,Improve Issue Reporter UX - design explorations,UX Smell,https://github.com/microsoft/vscode/issues/270214,High friction in issue reporting hinders user flow.
8,Codicon refresh | Alignment with Fluent iconography,,https://github.com/microsoft/vscode/issues/270212,Design refresh; no UX shortfall identified.
9,Implement design tokens for font sizes,,https://github.com/microsoft/vscode/issues/270210,Font token proposal; not an UX defect.
10,Extract elements line-height values to CSS variables,,https://github.com/microsoft/vscode/issues/270157,Missing line‑height variable affects styling only.
11,AI-First Profile MVP,,https://github.com/microsoft/vscode/issues/270130,"Feature expansion, not an UX flaw."
12,Chat Session Branching MVP,,https://github.com/microsoft/vscode/issues/270128,Branching feature; not a UX smell.
13,No bottom padding in inline chat,UX Smell,https://github.com/microsoft/vscode/issues/269994,"Missing bottom padding breaks visual balance, confusing users."
14,"Responsive chat panel css, revised prompt titles",UX Smell,https://github.com/microsoft/vscode/pull/269791,Responsive layout issues may mislead users about content availability.
15,VS Code Figma Component Update: Menu,,https://github.com/microsoft/vscode/issues/269786,Menu component update; no usability gap.
16,VS Code Component  Update: Status Icons,Undescriptive Element,https://github.com/microsoft/vscode/issues/269538,"Status icons lack clear naming, causing uncertainty."
17,Better search header? to account for mcp server,Undescriptive Element,https://github.com/microsoft/vscode/issues/269117,Search header doesn't identify MCP server type.
18,Inline chat for a chat session model picker does not apply to delegated sessions,UX Smell,https://github.com/microsoft/vscode/issues/269033,Model picker not updating leads to user confusion.
19,Can't tell if marketplace item is MCP server,Undescriptive Element,https://github.com/microsoft/vscode/issues/269024,Lack of MCP server indicator misleads users.
20,Half pill shaped warning for MCP unclear to me,Undescriptive Element,https://github.com/microsoft/vscode/issues/269018,Confusing warning icon style hides intent.
21,Chat: Model picker value should be cached,,https://github.com/microsoft/vscode/issues/268856,Caching performance concern; UX not impacted.
22,Vs code avatar issue,Undescriptive Element,https://github.com/microsoft/vscode/issues/269408,No initials or fallback; user sees wrong account.
23,`Copilot Code Review` button does not overflow with ellipsis in smaller panel sizes,Undescriptive Element,https://github.com/microsoft/vscode/issues/268823,Button text not truncated; user cannot determine action.
24,Rich hover for chat history,Undescriptive Element,https://github.com/microsoft/vscode/issues/268199,Missing hover details reduces situational awareness.
25,Todos don't truncate with elipses,Undescriptive Element,https://github.com/microsoft/vscode/issues/268047,Long text spills; user cannot see full message.
26,Hide the 'Keep' 'Undo' and diff buttons on the working set until changes are complete,UX Smell,https://github.com/microsoft/vscode/issues/267866,"Non‑interactive disabled buttons clutter UI, confusing focus."
27,Restyle the tool overlay to use secondary colors,,https://github.com/microsoft/vscode/issues/267864,Color style change; not a UX failure.
28,Chat empty state history preview: Remove 'Show more...' from workspace history in command palette,UX Smell,https://github.com/microsoft/vscode/issues/267863,'Show more...' hides content; user experience is interrupted.
